Bitcoin Bitcoin 	BTC 	$220,903,949,498 	$13,170.18 	16,773,038 	$13,593,855,481 	0.13% 	-4.52% 	-6.31%
Ripple Ripple 	XRP 	$82,199,880,481 	$2.12 	38,739,144,847 * 	$6,688,424,100 	0.09% 	-16.05% 	93.43%
Ethereum Ethereum 	ETH 	$69,767,510,695 	$721.66 	96,676,749 	$2,959,390,741 	0.09% 	0.19% 	4.80%
Bitcoin Cash Bitcoin Cash 	BCH 	$41,526,715,510 	$2,459.32 	16,885,416 	$1,313,420,620 	0.13% 	-5.87% 	-16.81%
Cardano Cardano 	ADA 	$18,030,140,406 	$0.695418 	25,927,070,538 * 	$627,712,961 	0.57% 	20.09% 	78.24%
Litecoin Litecoin 	LTC 	$12,000,947,760 	$220.00 	54,549,335 	$879,918,283 	-0.10% 	-5.47% 	-20.43%
IOTA IOTA 	MIOTA 	$9,564,670,064 	$3.44 	2,779,530,283 * 	$247,319,703 	0.12% 	-0.10% 	-0.21%
NEM NEM 	XEM 	$8,389,826,956 	$0.932203 	8,999,999,999 * 	$60,284,784 	0.26% 	-5.06% 	5.41%
Dash Dash 	DASH 	$7,850,364,658 	$1,008.33 	7,785,474 	$175,351,596 	-0.05% 	-5.99% 	-16.86%
Stellar Stellar 	XLM 	$5,756,694,225 	$0.322342 	17,858,963,295 * 	$398,128,552 	-0.05% 	-5.62% 	44.01%
Monero Monero 	XMR 	$5,255,620,533 	$338.10 	15,544,709 	$132,533,906 	0.14% 	-4.44% 	-1.26%
EOS EOS 	EOS 	$4,951,228,781 	$8.64 	573,099,786 * 	$465,767,094 	-0.13% 	-5.29% 	6.40%
NEO NEO 	NEO 	$4,681,133,411 	$72.02 	65,000,000 * 	$211,824,664 	0.14% 	6.09% 	26.29%
Qtum Qtum 	QTUM 	$4,495,432,503 	$60.94 	73,772,517 * 	$1,155,871,903 	-0.07% 	4.53% 	14.16%
Bitcoin Gold Bitcoin Gold 	BTG 	$4,314,672,274 	$257.79 	16,736,856 	$94,391,870 	0.14% 	-3.74% 	-18.11%
Ethereum Classic Ethereum Classic 	ETC 	$2,680,102,016 	$27.14 	98,766,267 	$220,795,472 	0.02% 	-5.56% 	-12.75%
Verge Verge 	XVG 	$2,668,208,470 	$0.185142 	14,411,677,201 	$461,994,989 	3.00% 	28.52% 	-25.82%
BitConnect BitConnect 	BCC 	$2,406,112,750 	$388.83 	6,188,063 	$25,016,816 	-0.01% 	-9.28% 	44.30%
TRON TRON 	TRX 	$2,379,088,528 	$0.036185 	65,748,192,476 * 	$268,777,586 	0.21% 	5.81% 	-18.56%
Lisk Lisk 	LSK 	$2,221,966,516 	$19.07 	116,498,616 * 	$66,078,851 	-0.15% 	-7.69% 	-1.29%
ICON ICON 	ICX 	$1,957,733,911 	$5.19 	376,878,355 * 	$64,461,936 	0.03% 	-0.98% 	35.16%
RaiBlocks RaiBlocks 	XRB 	$1,798,337,696 	$13.50 	133,248,289 * 	$20,326,261 	1.58% 	8.14% 	200.63%
OmiseGO OmiseGO 	OMG 	$1,661,425,030 	$16.28 	102,042,552 * 	$151,028,520 	0.92% 	10.33% 	20.49%
BitShares BitShares 	BTS 	$1,606,457,876 	$0.616361 	2,606,357,708 * 	$84,456,543 	-0.42% 	-0.95% 	15.48%
Ardor Ardor 	ARDR 	$1,534,941,589 	$1.54 	998,999,495 * 	$30,271,647 	0.06% 	-2.84% 	-8.66%
Zcash Zcash 	ZEC 	$1,453,654,830 	$492.36 	2,952,415 	$137,571,843 	-0.01% 	-7.61% 	-11.28%
