Bitcoin Bitcoin 	BTC 	$15,482,057,105 	$963.06 	16,075,850 	$83,178,589 	0.10% 	1.09% 	9.59%
Ethereum Ethereum 	ETH 	$722,829,967 	$8.26 	87,469,764 	$10,353,757 	0.22% 	2.99% 	13.41%
Ripple Ripple 	XRP 	$237,638,345 	$0.006540 	36,337,298,649 * 	$260,302 	0.09% 	2.10% 	2.49%
Litecoin Litecoin 	LTC 	$214,726,272 	$4.37 	49,134,311 	$8,586,509 	0.17% 	1.09% 	0.48%
Monero Monero 	XMR 	$185,582,499 	$13.58 	13,663,207 	$4,050,544 	-0.08% 	4.33% 	41.11%
Ethereum Classic Ethereum Classic 	ETC 	$127,129,044 	$1.45 	87,419,695 	$3,049,350 	0.13% 	1.91% 	32.06%
Dash Dash 	DASH 	$78,695,538 	$11.26 	6,991,229 	$3,266,181 	0.19% 	1.72% 	13.56%
MaidSafeCoin MaidSafeCoin 	MAID 	$44,886,080 	$0.099184 	452,552,412 * 	$285,343 	0.03% 	-2.59% 	-4.82%
Augur Augur 	REP 	$41,714,289 	$3.79 	11,000,000 * 	$246,763 	0.07% 	-0.71% 	31.37%
Steem Steem 	STEEM 	$39,078,093 	$0.170216 	229,579,712 * 	$88,133 	-0.20% 	3.54% 	27.52%
NEM NEM 	XEM 	$32,994,492 	$0.003666 	8,999,999,999 * 	$22,321 	0.00% 	-1.30% 	1.42%
Iconomi Iconomi 	ICN 	$27,238,196 	$0.313083 	87,000,000 * 	$121,710 	0.53% 	0.54% 	6.74%
Factom Factom 	FCT 	$26,004,851 	$2.97 	8,753,219 * 	$1,310,068 	-0.33% 	2.15% 	18.07%
Waves Waves 	WAVES 	$24,441,027 	$0.244410 	100,000,000 * 	$33,713 	-0.27% 	2.73% 	27.84%
Dogecoin Dogecoin 	DOGE 	$24,182,232 	$0.000225 	107,529,653,033 	$74,701 	-0.04% 	-0.23% 	-2.68%
DigixDAO DigixDAO 	DGD 	$17,752,792 	$8.88 	2,000,000 * 	$13,921 	0.33% 	-0.45% 	-1.62%
Stellar Lumens Stellar Lumens 	XLM 	$17,117,728 	$0.002473 	6,921,534,188 * 	$34,719 	0.09% 	-0.06% 	-6.20%
Zcash Zcash 	ZEC 	$16,715,798 	$48.53 	344,478 	$525,752 	0.09% 	-0.78% 	2.92%
Lisk Lisk 	LSK 	$15,166,465 	$0.149764 	101,269,187 * 	$45,097 	0.64% 	3.95% 	8.99%
E-Dinar Coin E-Dinar Coin 	EDR 	$13,207,907 	$0.969627 	13,621,634 	$449,799 	-0.52% 	2.26% 	10.81%
GameCredits GameCredits 	GAME 	$12,266,940 	$0.205550 	59,678,600 	$114,968 	0.23% 	7.41% 	7.02%
BitShares BitShares 	BTS 	$10,116,658 	$0.003923 	2,578,521,250 * 	$51,590 	-0.02% 	-3.03% 	-7.12%
Ardor Ardor 	ARDR 	$10,088,114 	$0.010098 	998,999,495 * 	$15,613 	0.01% 	-0.24% 	-8.47%
Swiscoin Swiscoin 	SCN 	$10,022,843 	$0.021121 	474,540,892 	$97,963 	0.00% 	6.42% 	-14.15%
Tether Tether 	USDT 	$9,951,670 	$1.00 	9,951,590 * 	$722,520 	0.00% 	0.00% 	0.00%
Bytecoin Bytecoin 	BCN 	$9,207,344 	$0.000051 	182,187,246,608 	$1,855 	0.48% 	-11.32% 	13.20%
Gulden Gulden 	NLG 	$8,944,043 	$0.026485 	337,696,829 	$29,100 	0.05% 	2.19% 	24.36%
